"","GSM1052615","GSM1052616","GSM1052617","GSM1052618","GSM1052619","GSM1052620"
"HSPA12A",8.49008,8.54445,8.49976,8.36452,8.31864,8.22535
"SHTN1",9.78241,9.90046,9.75615,11.2439,11.3624,11.2666
"VAX1",6.95884,7.03682,6.7678,6.78262,6.62772,6.86106
"PDZD8",10.4847,10.4573,10.5387,10.3264,10.2591,10.2399
"RAB11FIP2",10.9287,10.7912,10.9856,10.8208,10.8453,10.5419
"FAM204A",10.7612,10.6338,10.8292,10.8293,10.8683,10.7292
"PRLHR",6.93264,7.24363,6.8626,6.66077,6.61719,6.66989
"CACUL1",11.1411,11.0701,11.2407,10.9527,11.0173,11.0349
"EIF3A",12.4178,12.2406,12.3692,12.2246,12.2141,12.2576
"SNORA19",6.60256,6.51585,6.92095,6.30812,6.48537,6.34097
"SFXN4",9.57517,9.46592,9.61658,9.15979,9.18617,8.94176
"PRDX3",12.158,12.0769,12.1642,11.8206,11.8242,11.8883
"RGS10",8.85004,8.70365,8.80537,8.43254,8.34079,8.56262
"TIAL1",9.63803,9.48742,9.75208,9.36856,9.37564,9.43962
"MCMBP",11.5769,11.4142,11.5454,10.4223,10.3905,10.3715
"FGFR2",6.59374,6.57625,6.37291,7.49313,7.64086,7.79604
"ATE1",10.8464,10.7509,10.877,10.8935,10.8932,10.6496
"NSMCE4A",10.2907,10.2563,10.3939,9.66749,9.66596,9.52438
"C10orf120",5.5146,5.46314,5.35026,5.35773,5.28716,5.62274
"C10orf88",9.46374,9.25715,9.37338,9.4554,9.57747,9.49008
"IKZF5",9.92819,9.86671,10.1289,10.0814,9.86859,9.89283
"CHST15",7.33721,7.20034,6.96812,7.03009,6.59042,7.14147
"OAT",11.5504,11.4672,11.5244,11.2921,11.2382,11.2361
"NKX1-2",8.10659,8.33319,7.89119,8.00704,7.84394,7.97475
"FAM53B",8.75328,8.51348,8.74346,8.86426,8.68001,8.83018
"EEF1AKMT2",9.65833,9.36125,9.6037,9.25325,9.31598,9.15877
"TEX36",6.99625,6.99162,6.94277,7.23243,6.99108,7.07984
"ALDOAP2",7.67199,7.66816,7.74736,7.61359,7.59958,7.71097
"EDRF1-DT",6.43942,6.12371,6.21421,7.02175,6.75161,6.92947
"MMP21",6.52881,6.59828,6.58102,6.45094,6.61338,6.57487
"UROS",11.1907,11.1464,11.1195,11.5021,11.5724,11.5759
"DHX32",9.48446,9.28951,9.48211,9.50277,9.59012,9.46125
"ADAM12",8.43006,8.19636,8.44922,8.63231,8.49768,8.77571
"C10orf90",8.1299,8.12562,8.07762,7.46543,7.5637,7.48991
"INSYN2A",5.99645,6.20752,6.02386,6.0118,5.89682,6.05569
"CLRN3",5.63067,5.72759,5.36153,5.53394,5.79048,5.43721
"MKI67",12.0559,12.1328,12.1209,10.9562,10.8384,10.6695
"EBF3",10.4278,10.3177,10.5138,10.2042,10.0044,10.0451
"TCERG1L",8.31133,8.49696,8.42241,8.40575,8.17885,8.54323
"LINC01164",7.27132,7.48217,7.31196,6.89563,7.20271,7.41784
"BNIP3",12.2795,12.2437,12.3852,11.7222,11.6269,11.7506
"STK32C",8.16617,8.1824,8.20199,8.43685,8.36295,8.26772
"LINC01165",6.65503,7.02628,6.47554,6.36037,6.98692,6.70107
"NKX6-2",8.12838,8.28332,8.08591,7.98507,7.91269,7.99684
"CFAP46",6.94882,7.04799,6.81381,6.79334,6.47459,6.83252
"ADAM8",7.77032,7.79367,7.72649,7.74865,7.56061,7.51773
"TUBGCP2",9.62497,9.46291,9.49287,9.428,9.39715,9.43386
"CALY",9.22726,9.58425,9.08745,9.10669,8.99152,9.11042
"FUOM",8.89791,8.9507,8.79108,8.98006,9.10158,9.12934
"ECHS1",10.9766,10.9464,10.9322,11.0107,10.975,10.9898
"SPRN",7.56872,7.69912,7.62198,7.54744,7.2686,7.58861
"ODF3",6.66833,6.76993,6.75882,6.66181,6.73872,6.71958
"RIC8A",10.5657,10.4411,10.4306,10.6159,10.5145,10.3976
"PSMD13",10.4354,10.1748,10.3331,9.81554,9.94437,9.91864
"NLRP6",7.24066,7.31374,7.23344,7.1759,6.99445,7.04431
"PGGHG",7.35192,7.44966,7.4,7.45687,7.15734,7.30496
"IFITM2",10.2911,10.2175,10.1098,10.7979,10.8357,10.9626
"IFITM1",8.47039,8.62781,8.40843,9.8893,9.9168,10.0391
"B4GALNT4",8.40553,8.38055,8.36532,8.6329,8.72619,8.72123
"PKP3",8.36384,8.52975,8.14328,8.59701,8.58179,8.51569
"PTDSS2",9.2446,9.07745,9.11318,9.03236,8.94281,8.86307
"LRRC56",7.62182,7.81521,7.75533,7.94562,7.78664,8.08823
"LMNTD2-AS1",7.00516,7.11401,6.99979,7.44705,7.62692,7.92473
"RASSF7",8.64682,8.80476,8.47749,8.54623,8.42776,8.59531
"PHRF1",9.10449,9.1365,9.09601,8.77914,8.6524,8.86061
"DRD4",8.16992,8.44691,8.13029,7.98495,8.00189,8.20948
"TMEM80",9.41783,9.46819,9.546,9.79944,9.65786,9.88025
"EPS8L2",8.15351,8.19698,8.19767,8.8446,8.70899,8.74308
"TALDO1",10.7926,10.6104,10.6648,10.9469,10.9395,11.177
"LOC171391",8.05542,7.8386,8.0076,8.25327,8.14995,8.22223
"RPLP2",13.2858,13.2249,13.2164,13.3952,13.434,13.4276
"SNORA52",9.48449,9.3722,9.1039,9.56961,9.60585,9.86504
"PNPLA2",10.2988,10.3895,10.2139,10.6216,10.4694,10.6504
"CRACR2B",7.71511,7.96978,7.56501,7.52749,7.55724,7.77225
"CD151",12.3508,12.2964,12.2471,12.5606,12.4757,12.416
"TSPAN4",10.3092,10.2032,10.1771,10.2491,10.1783,10.1761
"AP2A2",9.34335,9.38747,9.37115,9.35754,9.26718,9.40441
"MUC2",7.17184,7.40501,7.219,7.04543,6.93302,7.05965
"MUC5B",9.26718,9.29293,9.34689,9.13903,9.0411,9.25054
"BRSK2",7.58443,7.66517,7.5873,7.51286,7.52413,7.59092
"KRTAP5-AS1",6.76249,7.04919,6.39909,6.52347,6.43447,6.599
"KRTAP5-5",7.41539,7.66482,7.42761,7.25985,7.03468,7.325
"FAM99A",7.14607,7.35119,7.27858,6.70161,6.46375,6.85248
"KRTAP5-6",7.11777,7.30933,7.14649,7.09138,7.10036,7.26272
"SYT8",8.051,8.18151,7.99151,7.98755,7.92907,7.98512
"TNNI2",7.30221,7.47761,7.28528,7.14425,7.04202,7.1855
"TNNT3",8.29881,8.27064,8.1372,8.03906,8.19726,8.1087
"IGF2",6.00096,6.07108,6.01958,5.95904,5.90961,5.78441
"IGF2-AS",7.35117,7.40006,7.18013,7.17702,7.12005,7.2653
"TSPAN32",7.59827,7.8049,7.71737,7.7643,7.65583,7.74041
"CD81",12.291,12.2022,12.1843,12.3889,12.2688,12.2702
"TSSC4",8.11552,8.09379,7.99818,7.8673,7.81575,7.96415
"KCNQ1",7.06274,7.11703,7.02233,6.94443,6.74021,6.85833
"KCNQ1DN",7.93444,8.09224,7.85166,7.77675,7.81753,7.88461
"SLC22A18",8.57297,8.82426,8.56385,9.15717,8.99342,9.01314
"MRGPRG-AS1",5.82575,5.98493,5.79613,5.5823,5.5338,5.42633
"TRPC2",6.40309,6.2903,6.20476,6.22312,6.32433,6.20268
"ART1",7.24319,7.54863,7.30481,7.13317,6.82337,7.25933
"PGAP2",10.21,10.171,10.0676,10.351,10.321,10.3184
"STIM1",8.70265,8.65812,8.68937,9.29279,9.12533,9.18268
"RRM1",11.5766,11.4348,11.5724,10.61,10.5342,10.5099
"OR52B3P",6.57043,6.9425,6.5155,6.36651,6.38315,6.66527
"OR52K2",5.26804,5.47235,5.22748,5.31649,5.22894,5.44611
"OR52K3P",5.85042,6.04232,5.65569,5.64785,5.73781,6.41569
"OR52K1",5.073,5.19912,5.04886,5.17939,5.01728,5.14267
"OR52M1",7.16068,7.23837,7.06815,6.85961,6.72956,6.914
"OR52I2",4.7589,5.1258,4.87297,4.79497,4.51906,4.84729
"OR52I1",5.44532,5.64033,5.061,5.07349,5.24242,5.10043
"OR51D1",5.91739,6.32829,6.08595,5.98786,5.77286,6.20294
"OR51E1",6.20096,6.45217,6.25214,6.16553,6.29736,6.21686
"MMP26",4.82441,5.44886,4.9723,5.00297,4.89579,5.10317
"OR51F2",5.9497,6.14365,5.95828,6.03687,5.81537,5.92817
"OR51T1",5.39752,5.46782,5.4019,5.21085,4.99164,5.37111
"OR51A7",4.94132,5.55844,5.35731,5.08743,5.37232,4.85763
"OR51L1",5.17886,5.50025,5.39657,5.25966,5.08545,4.74618
"OR52J3",5.8948,6.26465,5.82047,5.80403,6.09803,5.99426
"OR51B6",6.10565,6.45006,6.07488,6.00316,6.24355,5.96108
"OR51M1",5.7765,6.28171,6.05073,5.91137,6.2132,5.95702
"OR51Q1",5.81139,5.9392,5.72588,5.48461,5.43492,5.66135
"OR51I2",6.43681,6.59546,6.57095,6.25892,6.11989,6.14151
"OR52D1",6.235,6.5309,6.44286,5.90923,6.08881,6.19035
"OR52B6",5.82619,5.96851,6.00614,5.80329,5.84319,6.07237
